Date,Open,High,Low,Close,Volume,Market Cap
Aug-09-2022,23145.39408,24149.62713,22734.43796,23940.2045,75259928007,4.47407E+11
Aug-08-2022,23817.559,23892.834,22906.4602,23158.6991,70921624871,4.48027E+11
Aug-07-2022,23173.56449,24223.89166,23173.56449,23792.955,61125921052,4.54755E+11
Aug-06-2022,22941.6741,23371.0648,22864.3859,23170.70242,37227900821,4.41071E+11
Aug-05-2022,23296.01436,23327.09846,22938.3603,22938.3603,46671867100,4.43172E+11
Aug-04-2022,22603.22935,23440.18661,22603.22935,23225.78975,1.29512E+11,4.40926E+11
Aug-03-2022,22817.3353,23200.51931,22449.9977,22635.52,63618554425,4.36671E+11
Aug-02-2022,22986.79764,23567.7332,22722.4086,22812.3048,61731132919,4.4285E+11
Aug-01-2022,23281.93087,23423.38037,22683.0436,22963.82554,64458226290,4.38874E+11
Jul-31-2022,23311.5556,23475.5943,22864.67662,23311.59284,63362851484,4.43686E+11
Jul-30-2022,23635.63636,24167.15107,23258.2971,23314.4296,70552922681,4.5333E+11
Jul-29-2022,23789.5514,24589.35357,23550.6775,23642.24323,78457212018,4.59087E+11
Jul-28-2022,23852.00876,24298.65222,23452.4636,23746.2734,82637280583,4.56243E+11
Jul-27-2022,22954.99807,24139.4757,22713.87195,23847.01344,95390300729,4.45314E+11
Jul-26-2022,21279.62235,22943.12042,21047.5454,22943.12042,74499287061,4.13621E+11
Jul-25-2022,21317.184,21317.184,20737.03582,21206.71524,80699937496,4.01725E+11
Jul-24-2022,22583.91577,22620.9539,21340.4673,21340.4673,63096376192,4.19308E+11
Jul-23-2022,22459.03629,22990.39361,22295.8444,22600.78471,64037183873,4.32555E+11
Jul-22-2022,22683.3616,22971.2668,22000.69088,22471.3157,66410503533,4.29971E+11
Jul-21-2022,23153.3584,23679.19482,22559.0086,22701.085,86243476341,4.4195E+11
Jul-20-2022,23219.1382,23403.2821,22369.09692,23180.0875,91477466453,4.38037E+11
Jul-19-2022,23409.933,24237.7006,22966.7746,23244.5742,93750028124,4.50054E+11
Jul-18-2022,22517.0955,23695.7738,21620.9054,23407.3451,1.042E+11,4.30167E+11
Jul-17-2022,20787.37682,22688.71683,20787.37682,22440.03658,75819726180,4.16831E+11
Jul-16-2022,21207.85095,21605.86931,20769.40226,20769.40226,63000171477,4.05281E+11
Jul-15-2022,20825.95713,21507.16927,20514.6608,21192.11367,67204086400,3.98561E+11
Jul-14-2022,20587.367,21161.56873,20406.85345,20831.31137,70225059640,3.96978E+11
Jul-13-2022,20241.3541,20748.3833,19659.56011,20587.5358,67129015438,3.85429E+11
Jul-12-2022,19330.0263,20223.0186,19001.01635,20187.1528,55545072384,3.74602E+11
Jul-11-2022,19961.3584,20043.3868,19313.26076,19313.26076,48327162041,3.77451E+11
Jul-10-2022,20849.27192,20849.27192,19930.49038,19992.29457,49043628075,3.91019E+11
